Type,Country,Area,Activity,Sex,Fatal (Y/N),Time,Investigator or Source,Year,Month
Boating,USA,California,Paddling,F,N,18h00,"R. Collier, GSAF",2018,Jun
Unprovoked,USA,Georgia,Standing,F,N,14h00  -15h00,"K.McMurray, TrackingSharks.com",2018,Jun
Invalid,USA,Hawaii,Surfing,M,N,07h45,"K.McMurray, TrackingSharks.com",2018,Jun
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,,"B. Myatt, GSAF",2018,Jun
Provoked,MEXICO,Colima,Free diving,M,N,,A .Kipper,2018,Jun
Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,N,,"Daily Telegraph, 6/4/2018",2018,Jun
Unprovoked,BRAZIL,Pernambuco,Swimming,M,Y,Late afternoon,"Diario de Pernambuco, 6/4/2018",2018,Jun
Unprovoked,USA,Florida,Fishing,M,N,,"K. McMurray, TrackingSharks.com",2018,May
Unprovoked,USA,Florida,Walking,M,N,17h00,"K.McMurray, TrackingSharks.com",2018,May
Unprovoked,USA,Florida,Standing,M,N,14h00,"K. McMurray, Tracking Sharks.com",2018,May
Provoked,AUSTRALIA,Queensland,Feeding sharks,M,N,Morning,"ABC.net.au ,05/24/2018",2018,May
Unprovoked,USA,South Carolina,Boogie boarding,M,N,,"C. Creswell, GSAF",2018,May
Unprovoked,USA,South Carolina,Swimming,M,N,15h00,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",2018,May
Invalid,ENGLAND,Cornwall,Fishing,M,N,08h15,"K. McMurray, TrackingSharks.com",2018,May
Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,F,N,,"Perth Now, 6/30/2018",2018,
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,11h00,"B.Jacob, Dispatch Live, 5/12/2018",2018,May
Questionable,AUSTRALIA,New South Wales,Surfing,M,N,10h30,"B. Myatt, GSAF",2018,May
Unprovoked,THAILAND,Hua Hin,Swimming,M,N,,"K. McMurray, TrackingSharks.com",2018,Apr
Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,N,10h40,Costa Rica Star. 4/28/2018,2018,Apr
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,16h50,"B. Myatt, GSAF",2018,Apr
Questionable,AUSTRALIA,New South Wales,Surfing,M,N,07h00,"B. Myatt, GSAF",2018,Apr
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,09h30,"B.Myatt, GSAF",2018,Apr
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,Afternoon,"B. Myatt, GSAF",2018,Apr
Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,N,21h50,"K. McMurray, TrackingSharks.com",2018,Apr
Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,N,09h40,"Africa News Agency, 4/22/2018",2018,Apr
Unprovoked,USA,Hawaii,Body boarding,M,N,,"The Garden Island, 4/19/2018",2018,Apr
Unprovoked,THAILAND,Hua Hin,Swimming,M,N,,"Straits Times, 4/16/2018",2018,Apr
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,,"B.Myatt, GSAF",2018,Apr
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,08h00,"B.Myatt, GSAF",2018,Apr
Unprovoked,BAHAMAS,New Providence,Surfing,M,N,09h30,"Tribune242,",2018,Apr
Invalid,BRAZIL,Alagoas,Fishing,M,N,,"K. McMurray, TrackingSharks.com",2018,Apr
Unprovoked,BAHAMAS,,Swimming,M,N,18h00,"K. McMurray, TrackingSharks.com",2018,Apr
