Year,Type,Country,Area,Activity,Sex,Time,Investigator or Source,Month,Fatal
2018,Boating,USA,California,Board involved activity,F,Random or not clear time references,"R. Collier, GSAF",Jun ,N
2018,Unprovoked,USA,Georgia,Standing,F,Afternoon,"K.McMurray, TrackingSharks.com",Jun ,N
2018,Invalid,USA,Hawaii,Board involved activity,M,Morning,"K.McMurray, TrackingSharks.com",Jun ,N
2018,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,,"B. Myatt, GSAF",Jun ,N
2018,Provoked,MEXICO,Colima,Diving activities,M,,A .Kipper,Jun ,N
2018,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,,"Daily Telegraph, 6/4/2018",Jun ,N
2018,Unprovoked,BRAZIL,Pernambuco,Swimming related,M,Afternoon,"Diario de Pernambuco, 6/4/2018",Jun ,Y
2018,Unprovoked,USA,Florida,Fishing related,M,,"K. McMurray, TrackingSharks.com",May ,N
2018,Unprovoked,USA,Florida,Beach activities,M,Afternoon,"K.McMurray, TrackingSharks.com",May ,N
2018,Unprovoked,USA,Florida,Standing,M,Afternoon,"K. McMurray, Tracking Sharks.com",May ,N
2018,Provoked,AUSTRALIA,Queensland,Consequence of handeling sharks,M,Morning,"ABC.net.au ,05/24/2018",May ,N
2018,Unprovoked,USA,South Carolina,Board involved activity,M,,"C. Creswell, GSAF",May ,N
2018,Unprovoked,USA,South Carolina,Swimming related,M,Afternoon,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",May ,N
2018,Invalid,ENGLAND,Cornwall,Fishing related,M,Morning,"K. McMurray, TrackingSharks.com",May ,N
2018,Provoked,AUSTRALIA,Westerm Australia,Consequence of handeling sharks,F,,"Perth Now, 6/30/2018",May ,N
2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,Morning,"B.Jacob, Dispatch Live, 5/12/2018",May ,N
2018,Questionable,AUSTRALIA,New South Wales,Board involved activity,M,Morning,"B. Myatt, GSAF",May ,N
2018,Unprovoked,THAILAND,Hua Hin,Swimming related,M,,"K. McMurray, TrackingSharks.com",Apr ,N
2018,Unprovoked,COSTA RICA,Cocos Island,Diving activities,M,Morning,Costa Rica Star. 4/28/2018,Apr ,N
2018,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Afternoon,"B. Myatt, GSAF",Apr ,N
2018,Questionable,AUSTRALIA,New South Wales,Board involved activity,M,Morning,"B. Myatt, GSAF",Apr ,N
2018,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,"B.Myatt, GSAF",Apr ,N
2018,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Afternoon,"B. Myatt, GSAF",Apr ,N
2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing related,M,Random or not clear time references,"K. McMurray, TrackingSharks.com",Apr ,N
2018,Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,Morning,"Africa News Agency, 4/22/2018",Apr ,N
2018,Unprovoked,USA,Hawaii,Board involved activity,M,,"The Garden Island, 4/19/2018",Apr ,N
2018,Unprovoked,THAILAND,Hua Hin,Swimming related,M,,"Straits Times, 4/16/2018",Apr ,N
2018,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,,"B.Myatt, GSAF",Apr ,N
2018,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,"B.Myatt, GSAF",Apr ,N
2018,Unprovoked,BAHAMAS,New Providence,Board involved activity,M,Morning,"Tribune242,",Apr ,N
2018,Invalid,BRAZIL,Alagoas,Fishing related,M,,"K. McMurray, TrackingSharks.com",Apr ,N
