Type,Country,Area,Activity,Time,Investigator or Source,Year,Month,Fatal,NSex
Boating,USA,California,Board involved activity,Random or not clear time references,"R. Collier, GSAF",2018,Jun,N,F
Unprovoked,USA,Georgia,Standing,Afternoon,"K.McMurray, TrackingSharks.com",2018,Jun,N,F
Invalid,USA,Hawaii,Board involved activity,Morning,"K.McMurray, TrackingSharks.com",2018,Jun,N,M
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,,"B. Myatt, GSAF",2018,Jun,N,M
Provoked,MEXICO,Colima,Diving activities,,A .Kipper,2018,Jun,N,M
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,,"Daily Telegraph, 6/4/2018",2018,Jun,N,M
Unprovoked,BRAZIL,Pernambuco,Swimming related,Afternoon,"Diario de Pernambuco, 6/4/2018",2018,Jun,Y,M
Unprovoked,USA,Florida,Fishing related,,"K. McMurray, TrackingSharks.com",2018,May,N,M
Unprovoked,USA,Florida,Beach activities,Afternoon,"K.McMurray, TrackingSharks.com",2018,May,N,M
Unprovoked,USA,Florida,Standing,Afternoon,"K. McMurray, Tracking Sharks.com",2018,May,N,M
Provoked,AUSTRALIA,Queensland,Consequence of handeling sharks,Morning,"ABC.net.au ,05/24/2018",2018,May,N,M
Unprovoked,USA,South Carolina,Board involved activity,,"C. Creswell, GSAF",2018,May,N,M
Unprovoked,USA,South Carolina,Swimming related,Afternoon,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",2018,May,N,M
Invalid,ENGLAND,Cornwall,Fishing related,Morning,"K. McMurray, TrackingSharks.com",2018,May,N,M
Provoked,AUSTRALIA,Westerm Australia,Consequence of handeling sharks,,"Perth Now, 6/30/2018",2018,May,N,F
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,Morning,"B.Jacob, Dispatch Live, 5/12/2018",2018,May,N,M
Questionable,AUSTRALIA,New South Wales,Board involved activity,Morning,"B. Myatt, GSAF",2018,May,N,M
Unprovoked,THAILAND,Hua Hin,Swimming related,,"K. McMurray, TrackingSharks.com",2018,Apr,N,M
Unprovoked,COSTA RICA,Cocos Island,Diving activities,Morning,Costa Rica Star. 4/28/2018,2018,Apr,N,M
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,Afternoon,"B. Myatt, GSAF",2018,Apr,N,M
Questionable,AUSTRALIA,New South Wales,Board involved activity,Morning,"B. Myatt, GSAF",2018,Apr,N,M
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,Morning,"B.Myatt, GSAF",2018,Apr,N,M
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,Afternoon,"B. Myatt, GSAF",2018,Apr,N,M
Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing related,Random or not clear time references,"K. McMurray, TrackingSharks.com",2018,Apr,N,M
Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,Morning,"Africa News Agency, 4/22/2018",2018,Apr,N,M
Unprovoked,USA,Hawaii,Board involved activity,,"The Garden Island, 4/19/2018",2018,Apr,N,M
Unprovoked,THAILAND,Hua Hin,Swimming related,,"Straits Times, 4/16/2018",2018,Apr,N,M
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,,"B.Myatt, GSAF",2018,Apr,N,M
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,Morning,"B.Myatt, GSAF",2018,Apr,N,M
Unprovoked,BAHAMAS,New Providence,Board involved activity,Morning,"Tribune242,",2018,Apr,N,M
Invalid,BRAZIL,Alagoas,Fishing related,,"K. McMurray, TrackingSharks.com",2018,Apr,N,M
Unprovoked,BAHAMAS,,Swimming related,Random or not clear time references,"K. McMurray, TrackingSharks.com",2018,Apr,N,M
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,Afternoon,"K. McMurray, TrackingSharks.com",2018,Apr,N,M
Unprovoked,USA,Hawaii,Board involved activity,Morning,"Khon2, 3/31/2018",2018,Mar,N,M
Unprovoked,AUSTRALIA,Western Australia,Beach activities,Afternoon,"B. Myatt, GSAF",2018,Mar,N,M
Unprovoked,AUSTRALIA,Victoria,Swimming related,Afternoon,"B. Myatt, GSAF",2018,Mar,N,M
Unprovoked,AUSTRALIA,Victoria,Board involved activity,Morning,"B. Myatt, GSAF",2018,Mar,N,M
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Diving activities,,"International Business Times, 3/1/2018",2018,Feb,N,M
Unprovoked,AUSTRALIA,New South Wales,Swimming related,Random or not clear time references,"B. Myatt, GSAF",2018,Feb,N,F
Provoked,AUSTRALIA,Victoria,Board involved activity,Nightime,"B. Myatt, GSAF",2018,Feb,N,M
Unprovoked,AUSTRALIA,New South Wales,Beach activities,Afternoon,"B. Myatt, GSAF",2018,Feb,N,M
Invalid,AUSTRALIA,Queensland,Swimming related,Random or not clear time references,"Sunshine Coast Daily, 2/15/2018",2018,Feb,N,F
Invalid,BRAZIL,"Boi Island, Victoria",Fishing related,,TrackingSharks.com,2018,Feb,N,F
Unprovoked,ECUADOR,Galapagos Islands,Diving activities,,"The Standard (UK), 2/6/2018",2018,Feb,N,M
Invalid,AUSTRALIA,Western Australia,Fishing related,,"The West Australian, 2/2/2018",2018,Feb,N,M
Unprovoked,AUSTRALIA,Western Australia,,Morning,"ABC.net.au, 01/28/2018",2018,Jan,N,M
Unprovoked,NEW CALEDONIA,,Fishing related,Afternoon,TrackingSharks.com,2018,Jan,N,M
Unprovoked,AUSTRALIA,Queensland,Diving activities,Afternoon,"B. Myatt, GSAF",2018,Jan,N,M
Unprovoked,AUSTRALIA,New South Wales,Diving activities,,"B. Myatt, GSAF",2018,Jan,N,M
Unprovoked,BRAZIL,Fernando de Noronha,Board involved activity,Afternoon,TrackingSharks.com,2018,Jan,N,M
